mean_predicted_probability,fraction_of_positives
0.061560405832111406,0.0625
0.15332347145608774,0.10256410256410256
0.25398164781484595,0.125
0.3563613332605375,0.5
0.4475747489257355,0.3103448275862069
0.5524889679077669,0.5333333333333333
0.6619468674100473,0.5714285714285714
0.7398551853167922,0.7058823529411765
0.823063545466805,0.8
0.9016980965974376,1.0
