mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_colsample_bytree,param_learning_rate,param_min_child_weight,param_subsample
0.009711360931396485,0.0010184461071695743,0.0072728157043457035,0.0012122890439402623,0.01,liblinear,"{'C': 0.01, 'solver': 'liblinear'}",0.8108258928571429,0.7888764880952381,0.7853422619047619,0.6928943452380952,0.8059895833333333,0.7767857142857142,0.043055226961843183,3.0,Logistic Regression,,,,,,,,,
0.012273883819580078,0.006325121394884447,0.00929880142211914,0.002232995634797596,0.01,lbfgs,"{'C': 0.01, 'solver': 'lbfgs'}",0.8113839285714285,0.7888764880952381,0.784970238095238,0.6928943452380952,0.8054315476190476,0.7767113095238095,0.043054680490659504,4.0,Logistic Regression,,,,,,,,,
0.007876300811767578,0.003191747406939602,0.0063572883605957035,0.0018621623350386586,0.1,liblinear,"{'C': 0.1, 'solver': 'liblinear'}",0.8219866071428571,0.8197544642857143,0.7831101190476191,0.6837797619047619,0.7979910714285714,0.7813244047619048,0.050845271325637764,2.0,Logistic Regression,,,,,,,,,
0.011968708038330078,0.0018647715537298633,0.006840276718139649,0.0009243929704601924,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",0.8216145833333334,0.8199404761904762,0.7834821428571429,0.6839657738095238,0.7979910714285714,0.7813988095238095,0.050745656787430565,1.0,Logistic Regression,,,,,,,,,
0.010048103332519532,0.001872439933083147,0.006133127212524414,0.0015151715738554855,1.0,liblinear,"{'C': 1.0, 'solver': 'liblinear'}",0.8065476190476191,0.8312872023809523,0.7563244047619048,0.6767113095238096,0.7756696428571429,0.7693080357142857,0.0529365697545211,5.0,Logistic Regression,,,,,,,,,
0.01930866241455078,0.005263532190345766,0.0059966564178466795,0.0013614066915718331,1.0,lbfgs,"{'C': 1.0, 'solver': 'lbfgs'}",0.8061755952380952,0.8312872023809523,0.7550223214285714,0.6757812500000001,0.7756696428571428,0.7687872023809523,0.05327492662269847,6.0,Logistic Regression,,,,,,,,,
0.010798883438110352,0.0021936971142729484,0.005322456359863281,0.0007483694190941494,10.0,liblinear,"{'C': 10.0, 'solver': 'liblinear'}",0.80078125,0.8335193452380952,0.7196800595238095,0.6733630952380951,0.7710193452380952,0.7596726190476191,0.0571327321604071,8.0,Logistic Regression,,,,,,,,,
0.021008062362670898,0.007499284842200361,0.004904937744140625,0.0005456326025865451,10.0,lbfgs,"{'C': 10.0, 'solver': 'lbfgs'}",0.8002232142857142,0.8335193452380952,0.7198660714285714,0.6735491071428571,0.771391369047619,0.7597098214285714,0.05698566918243379,7.0,Logistic Regression,,,,,,,,,
0.011114406585693359,0.002794507338459657,0.006033086776733398,0.0022803628752994993,100.0,liblinear,"{'C': 100.0, 'solver': 'liblinear'}",0.8004092261904762,0.8337053571428571,0.7126116071428571,0.6726190476190477,0.7708333333333333,0.7580357142857143,0.05838586279011166,9.0,Logistic Regression,,,,,,,,,
0.013127756118774415,0.0013947397981670124,0.0031438827514648437,0.0005904401063381821,100.0,lbfgs,"{'C': 100.0, 'solver': 'lbfgs'}",0.7991071428571429,0.8335193452380951,0.712797619047619,0.6728050595238095,0.7700892857142857,0.7576636904761905,0.05803445034490562,10.0,Logistic Regression,,,,,,,,,
0.25397753715515137,0.009673531473502804,0.07905268669128418,0.01036593762131492,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8104538690476191,0.8016183035714285,0.7748325892857143,0.7294456845238094,0.8095238095238095,0.7851748511904761,0.030708272633323448,279.0,Random Forest,,sqrt,1.0,2.0,100.0,,,,
0.5605646133422851,0.06029750415027913,0.08683290481567382,0.009917739128526084,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.820498511904762,0.8020833333333333,0.7739955357142857,0.7451636904761905,0.8195684523809524,0.7922619047619047,0.028952775383655097,185.0,Random Forest,,sqrt,1.0,2.0,200.0,,,,
0.903311824798584,0.0795044787592297,0.11473584175109863,0.018408771789068044,,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.826171875,0.8056175595238095,0.7733444940476191,0.7398623511904763,0.8243117559523809,0.7938616071428573,0.03300375421396545,159.0,Random Forest,,sqrt,1.0,2.0,300.0,,,,
