Model,AURGA,AURGR_Gaussian,AURGR_Swapping,RGR_Reference,AURGR,AURGE,AURGR_for_compliance,AURGE_for_compliance,Compliance_Arithmetic,Compliance_Geometric,Compliance_RMS,Compliance_TOPSIS
Voting Ensemble,0.7095289676407446,0.9916402615145956,0.864491054925374,0.9595546501122744,0.9595546501122744,0.9711865469868722,0.9595546501122744,0.9711865469868722,0.8800900549132971,0.8711925797621081,0.8883279783806795,0.9946334571413651
XGBoost,0.7048540044894034,0.978364468901628,0.8359582572318378,0.9621147915116296,0.9621147915116296,0.9718553259821315,0.9621147915116296,0.9718553259821315,0.8796080406610548,0.8702470518023937,0.8882542455720002,0.9906538810272675
Stacking Ensemble,0.7018456813391535,0.9943054999866222,0.8690855067957293,0.9619442778221386,0.9619442778221386,0.9725476548746712,0.9619442778221386,0.9725476548746712,0.8787792046786546,0.8691621645536878,0.8876510378618012,0.9853638788517015
Random Forest,0.6829703795985701,0.9950740965304616,0.9071017460973559,0.9621683354432157,0.9621683354432157,0.9701184217283338,0.9621683354432157,0.9701184217283338,0.8717523789233731,0.8606486533481242,0.8819195347489204,0.950645461425029
Logistic Regression,0.6402361596887376,0.996300803165335,0.8464009281955962,0.9612713396002949,0.9612713396002949,0.9740487967569855,0.9612713396002949,0.9740487967569855,0.8585187653486727,0.8431838940747166,0.8722988759543484,0.8787894668521943
Random Baseline,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0
