group,n,positive_rate,tpr,fpr
female div/dep/mar,61,0.2786885245901639,0.6,0.12195121951219512
male div/sep,9,0.4444444444444444,0.6666666666666666,0.3333333333333333
male mar/wid,12,0.08333333333333333,0.3333333333333333,0.0
male single,118,0.1864406779661017,0.4117647058823529,0.09523809523809523
