dataset,scenario,mean_safe,std_safe,min_safe,max_safe,delta_vs_equal,approved_folds,rejected_folds
German Credit,Equal weights,0.8246857677931804,0.031987960776692796,0.7766320350981756,0.8587405347997729,0.0,5,0
German Credit,RGA priority,0.8002953676515678,0.033260687926396366,0.7500487520329221,0.8372949897349167,-0.024390400141612534,5,0
German Credit,RGR priority,0.8490754680475551,0.02558832099877265,0.8111164869314458,0.8765379598375822,0.024389700254374702,5,0
German Credit,RGE priority,0.8534033346990899,0.025191965872832282,0.8151280492478727,0.8799192821119777,0.028717566905909542,5,0
German Credit,Fairness priority,0.7959689007745091,0.04405887338282317,0.7302348521804619,0.8412099075146151,-0.028716867018671266,4,1
Taiwan Credit,Equal weights,0.8645876789929124,0.006612666379325028,0.8574487026855667,0.873059744646354,0.0,5,0
Taiwan Credit,RGA priority,0.8161069704263509,0.008695577477469959,0.8074811283330723,0.8268878966259952,-0.0484807085665615,5,0
Taiwan Credit,RGR priority,0.8791043378863795,0.005342216545927948,0.8735371602950741,0.8860866198537373,0.014516658893467094,5,0
Taiwan Credit,RGE priority,0.8816892226299335,0.005669884108077662,0.8751142713368742,0.8888102556801902,0.0171015436370211,5,0
Taiwan Credit,Fairness priority,0.8814501850289858,0.0068451525028664735,0.8736622507772462,0.8904542064254938,0.01686250603607331,5,0
