feature,rge_similarity_after_removal,rge_importance,importance_rank_least_to_most,mean_abs_shap,shap_method,model,rge_rank,shap_rank
savings_status_500less_than_=Xless_than_1000,0.9998927760699952,0.00010722393000484054,10,0.0010850199969070545,tree_explainer,Random Forest,52.0,54.0
other_parties_co applicant,0.9999090702287187,9.092977128133395e-05,9,0.001244502118846699,tree_explainer,Random Forest,53.0,52.0
other_payment_plans_stores,0.9999264732491155,7.352675088445615e-05,8,0.0012164481117549393,tree_explainer,Random Forest,54.0,53.0
personal_status_male mar/wid,0.9999275526101116,7.244738988843036e-05,7,0.0009284314903101412,tree_explainer,Random Forest,55.0,56.0
foreign_worker_no,0.9999521479419143,4.7852058085662286e-05,6,0.0010794913372784076,tree_explainer,Random Forest,56.0,55.0
purpose_repairs,0.9999837245705353,1.6275429464696067e-05,5,0.0004885691152044736,tree_explainer,Random Forest,57.0,57.0
job_unemp/unskilled non res,0.9999864728016946,1.352719830538529e-05,4,0.0004619691208105394,tree_explainer,Random Forest,58.0,58.0
purpose_retraining,0.9999866121499181,1.3387850081869601e-05,3,0.00010108350314373675,tree_explainer,Random Forest,59.0,60.0
purpose_domestic appliance,0.9999895954851272,1.040451487277494e-05,2,0.00017094067861554073,tree_explainer,Random Forest,60.0,59.0
purpose_other,0.9999993617744688,6.382255312020746e-07,1,6.905800896808234e-05,tree_explainer,Random Forest,61.0,61.0
