Model,AURGA,AURGR_Gaussian,AURGR_Swapping,RGR_Reference,AURGR,AURGE
Logistic Regression,0.6402361596887376,0.996300803165335,0.8464009281955962,0.9612713396002949,0.9612713396002949,0.9740487967569855
Random Forest,0.6829703795985701,0.9950740965304616,0.9071017460973559,0.9621683354432157,0.9621683354432157,0.9701184217283338
XGBoost,0.7048540044894034,0.978364468901628,0.8359582572318378,0.9621147915116296,0.9621147915116296,0.9718553259821315
Voting Ensemble,0.7095289676407446,0.9916402615145956,0.864491054925374,0.9595546501122744,0.9595546501122744,0.9711865469868722
Stacking Ensemble,0.7018456813391535,0.9943054999866222,0.8690855067957293,0.9619442778221386,0.9619442778221386,0.9725476548746712
Random Baseline,0.5,1.0,1.0,1.0,1.0,1.0
