fold,n_train,n_validation,auc,aurga,aurgr_gaussian,aurgr_swapping,reference_rgr,rgr_aggregate,aurge,fairness_score_spd,fairness_score_eod,fairness_score_aod,fairness_score_dir,fairness_aggregate,safe_score
1,800,200,0.7897619047619048,0.7160186347115872,0.9865800152917917,0.8419121090884711,0.9512545618365813,0.9512545618365813,0.9647138793293618,0.8396551724137931,0.7,0.7578947368421052,0.4833333333333333,0.6952208106473079,0.8318019716312096
2,800,200,0.7689285714285714,0.7024131506803388,0.98981349143061,0.8913563684402276,0.9384522304779673,0.9384522304779673,0.9709383821818522,0.7792207792207793,0.61,0.6661111111111111,0.39285714285714285,0.6120472582972584,0.8059627554093541
3,800,200,0.7983333333333335,0.7612413975018963,0.9843270539196097,0.8684252964365413,0.9468224589209584,0.9468224589209584,0.9655201749516793,0.788982259570495,0.644927536231884,0.759963768115942,0.2179930795847751,0.602966660875774,0.819137673062577
4,800,200,0.8286904761904762,0.7271579936013561,0.9918335548768437,0.8433244792718557,0.9458567462275661,0.9458567462275661,0.9690043184341042,0.8541666666666667,0.7333333333333334,0.7904471544715448,0.5625,0.7351117886178862,0.8442827117202283
5,800,200,0.8126190476190476,0.6680177631674276,0.9902136078035417,0.8872238394954115,0.9486574975380427,0.9486574975380427,0.9713004941631361,0.6875,0.4,0.6069767441860465,0.0,0.4236191860465116,0.7528987352287795
