model,cv_auc,test_auc,aurga,rgr_aggregate,aurge,fairness_aggregate,paper_safe_score,baseline_safe_score,decision
Voting Ensemble,0.7967633928571429,0.8047619047619049,0.7095289676407446,0.9595546501122744,0.9711865469868722,0.5399305555555556,0.7950501800738616,0.7950501800738616,APPROVED
XGBoost,0.8024925595238095,0.7825,0.7048540044894034,0.9621147915116296,0.9718553259821315,0.5399305555555556,0.79468866938468,0.79468866938468,APPROVED
Stacking Ensemble,0.7910342261904761,0.8085714285714287,0.7018456813391535,0.9619442778221386,0.9725476548746712,0.5399305555555556,0.7940670423978797,0.7940670423978797,APPROVED
Random Forest,0.8025297619047619,0.7911904761904763,0.6829703795985701,0.9621683354432157,0.9701184217283338,0.43576388888888884,0.7627552564147521,0.7627552564147521,APPROVED
